_id,gene_name,symbol
13239,uncharacterized LOC101252858,LOC101252858
13240,rRNA-processing protein FCF1 homolog,LOC101252860
13241,L-ascorbate oxidase homolog,LOC101252861
13242,uncharacterized LOC101252863,LOC101252863
13243,putative monoglyceride lipase-like,LOC101252864
13244,uncharacterized LOC101252865,LOC101252865
13245,cytochrome b6-f complex subunit 4-like,LOC101252866
13246,putative late blight resistance protein homolog R1A-10-like,LOC101252868
13247,dnaJ protein homolog,LOC101252869
13248,uncharacterized LOC101252870,LOC101252870
13249,putative disease resistance protein RGA1-like,LOC101252871
13250,nucleolar complex protein 3 homolog,LOC101252872
13251,probable leucine-rich repeat receptor-like protein kinase At1g35710-like,LOC101252873
13252,probable aquaporin NIP-type-like,LOC101252874
13253,3-ketoacyl-CoA synthase 6-like,LOC101252875
13254,formin-like protein 8-like,LOC101252878
13255,OTU domain-containing protein DDB_G0284757-like,LOC101252879
13256,uncharacterized LOC101252880,LOC101252880
13257,tubulin-folding cofactor C-like,LOC101252883
13258,GDSL esterase/lipase At4g01130-like,LOC101252884
13259,MLP-like protein 34-like,LOC101252885
13260,uncharacterized LOC101252886,LOC101252886
13261,uncharacterized LOC101252888,LOC101252888
13262,histone H4-like,LOC101252889
13263,"ferredoxin-3, chloroplastic-like",LOC101252890
13264,MORC family CW-type zinc finger protein 3-like,LOC101252891
13265,uncharacterized LOC101252893,LOC101252893
13266,uncharacterized LOC101252894,LOC101252894
13267,uncharacterized LOC101252896,LOC101252896
13268,ADIPOR-like receptor CG5315-like,LOC101252897
13269,aspartic proteinase nepenthesin-2-like,LOC101252899
13270,uncharacterized LOC101252900,LOC101252900
13271,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5-like,LOC101252902
13272,putative cyclin-B3-1-like,LOC101252903
13273,uncharacterized LOC101252904,LOC101252904
13274,uncharacterized LOC101252905,LOC101252905
13275,putative transactivator/viroplasmin protein-like,LOC101252906
13276,protein TIFY 5A-like,LOC101252907
13277,uncharacterized LOC101252908,LOC101252908
13278,AT-rich interactive domain-containing protein 2-like,LOC101252909
13279,cyclin-dependent kinase F-4-like,LOC101252911
13280,"polyphenol oxidase F, chloroplastic-like",LOC101252914
13281,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5-like,LOC101252915
13282,uncharacterized LOC101252916,LOC101252916
13283,aspartic proteinase-like protein 2-like,LOC101252917
13284,uncharacterized LOC101252920,LOC101252920
13285,ATP-dependent (S)-NAD(P)H-hydrate dehydratase-like,LOC101252921
13286,11S globulin seed storage protein 2-like,LOC101252924
13287,probable importin subunit beta-4-like,LOC101252925
13288,3-hydroxyisobutyryl-CoA hydrolase 1-like,LOC101252928
13289,cytochrome P450 93A1-like,LOC101252929
13290,auxin-induced protein 15A-like,LOC101252930
13291,"MATE efflux family protein 3, chloroplastic-like",LOC101252931
13292,cannabidiolic acid synthase-like,LOC101252932
13293,uncharacterized LOC101252933,LOC101252933
13294,uncharacterized LOC101252934,LOC101252934
13295,transmembrane protein 53-like,LOC101252936
13296,uncharacterized LOC101252937,LOC101252937
13297,"50S ribosomal protein 5, chloroplastic-like",LOC101252938
13298,uncharacterized LOC101252939,LOC101252939
13299,geraniol 8-hydroxylase-like,LOC101252940
13300,uncharacterized LOC101252942,LOC101252942
13301,"50S ribosomal protein L12, chloroplastic-like",LOC101252943
13302,"acetolactate synthase small subunit 2, chloroplastic-like",LOC101252944
13303,V-type proton ATPase 16 kDa proteolipid subunit c2-like,LOC101252945
13304,60S ribosomal protein L6-like,LOC101252946
13305,"MOSC domain-containing protein 2, mitochondrial-like",LOC101252947
13306,subtilisin-like protease-like,LOC101252948
13307,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101252949
13308,putative vesicle-associated membrane protein 726-like,LOC101252950
13309,uncharacterized LOC101252951,LOC101252951
13310,ATP-dependent RNA helicase fal1-like,LOC101252952
13311,putative disease resistance RPP13-like protein 1-like,LOC101252953
13312,GDSL esterase/lipase At1g28580-like,LOC101252954
13313,uncharacterized LOC101252955,LOC101252955
13314,U-box domain-containing protein 5-like,LOC101252959
13315,zinc finger Ran-binding domain-containing protein 2-like,LOC101252960
13316,"translation factor GUF1 homolog, mitochondrial-like",LOC101252961
13317,uncharacterized LOC101252962,LOC101252962
13318,uncharacterized LOC101252963,LOC101252963
13319,uncharacterized LOC101252964,LOC101252964
13320,uncharacterized LOC101252965,LOC101252965
13321,amino acid permease 6-like,LOC101252966
13322,chromodomain-helicase-DNA-binding protein 2-like,LOC101252967
13323,"39S ribosomal protein L47, mitochondrial-like",LOC101252970
13324,adenine phosphoribosyltransferase-like,LOC101252971
13325,uncharacterized LOC101252972,LOC101252972
13326,uncharacterized LOC101252973,LOC101252973
13327,vignain-like,LOC101252974
13328,ASC1-like protein-like,LOC101252975
13329,monothiol glutaredoxin-S1-like,LOC101252976
13330,pyruvate dehydrogenase E1 component subunit beta-like,LOC101252977
13331,membrane steroid-binding protein 2-like,LOC101252978
13332,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit 3, mitochondrial-like",LOC101252979
13333,uncharacterized LOC101252980,LOC101252980
13334,uncharacterized LOC101252983,LOC101252983
13335,alcohol dehydrogenase-like 7-like,LOC101252984
13336,uncharacterized LOC101252985,LOC101252985
13337,uncharacterized LOC101252986,LOC101252986
13338,uncharacterized LOC101252987,LOC101252987
13339,uncharacterized LOC101252990,LOC101252990
13340,histone H4-like,LOC101252991
13341,MLO-like protein 3-like,LOC101252992
13342,uncharacterized LOC101252993,LOC101252993
13343,CTD small phosphatase-like protein 2-like,LOC101252994
13344,uncharacterized LOC101252995,LOC101252995
13345,protein PHYTOCHROME KINASE SUBSTRATE 3-like,LOC101252996
13346,uncharacterized LOC101252998,LOC101252998
13347,uncharacterized LOC101252999,LOC101252999
13348,uncharacterized LOC101253001,LOC101253001
13349,uncharacterized LOC101253002,LOC101253002
13350,"protein THYLAKOID FORMATION1, chloroplastic-like",LOC101253003
13351,uncharacterized LOC101253004,LOC101253004
13352,"pentatricopeptide repeat-containing protein At4g31070, mitochondrial-like",LOC101253005
13353,zinc finger CCCH domain-containing protein 18-like,LOC101253006
13354,uncharacterized LOC101253008,LOC101253008
13355,uncharacterized LOC101253009,LOC101253009
13356,replication factor C subunit 3-like,LOC101253010
13357,molybdopterin biosynthesis protein CNX1-like,LOC101253012
13358,uncharacterized LOC101253013,LOC101253013
13359,transcription factor DIVARICATA-like,LOC101253014
13360,receptor-like protein 12-like,LOC101253015
13361,UDP-glycosyltransferase 75B1-like,LOC101253017
13362,uncharacterized LOC101253018,LOC101253018
13363,myricetin O-methyltransferase-like,LOC101253019
13364,"ATP synthase subunit c, chloroplastic-like",LOC101253020
13365,glutathione S-transferase U8-like,LOC101253021
13366,polyamine oxidase 1-like,LOC101253022
13367,leucine-rich repeat extensin-like protein 3-like,LOC101253023
13368,uncharacterized LOC101253024,LOC101253024
13369,sucrose synthase 2-like,LOC101253025
13370,uncharacterized LOC101253026,LOC101253026
13371,conserved oligomeric Golgi complex subunit 5-like,LOC101253027
13372,uridine kinase-like protein 3-like,LOC101253028
13373,probable sphingolipid transporter spinster homolog 2-like,LOC101253029
13374,polyol transporter 5-like,LOC101253030
13375,probable aquaporin PIP1-2-like,LOC101253031
13376,histone acetyltransferase GCN5-like,LOC101253033
13377,perakine reductase-like,LOC101253034
13378,uncharacterized LOC101253035,LOC101253035
13379,aquaporin-4-like,LOC101253036
13380,60S ribosomal protein L4-1-like,LOC101253039
13381,nuclear factor related to kappa-B-binding protein-like,LOC101253041
13382,elongator complex protein 4-like,LOC101253042
13383,probable acyl-activating enzyme 2-like,LOC101253043
13384,uncharacterized LOC101253044,LOC101253044
13385,uncharacterized LOC101253045,LOC101253045
13386,pistil-specific extensin-like protein-like,LOC101253046
13387,ethylene-responsive transcription factor ERF012-like,LOC101253047
13388,uncharacterized LOC101253048,LOC101253048
13389,glycerol-3-phosphate dehydrogenase [NAD(+)]-like,LOC101253049
13390,putative disease resistance RPP13-like protein 1-like,LOC101253050
13391,abhydrolase domain-containing protein FAM108C1-like,LOC101253051
13392,zinc finger A20 and AN1 domain-containing stress-associated protein 8-like,LOC101253052
13393,"pentatricopeptide repeat-containing protein At1g06710, mitochondrial-like",LOC101253054
13394,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101253056
13395,tryptophan aminotransferase-related protein 4-like,LOC101253057
13396,G-type lectin S-receptor-like serine/threonine-protein kinase RKS1-like,LOC101253059
13397,uncharacterized LOC101253060,LOC101253060
13398,protein notum homolog,LOC101253061
13399,isoleucine N-monooxygenase 1-like,LOC101253063
13400,uncharacterized LOC101253064,LOC101253064
13401,uncharacterized LOC101253065,LOC101253065
13402,RING-H2 finger protein ATL22-like,LOC101253066
13403,uncharacterized LOC101253067,LOC101253067
13404,XIAP-associated factor 1-like,LOC101253068
13405,boron transporter 4-like,LOC101253069
13406,uncharacterized LOC101253070,LOC101253070
13407,probable polygalacturonase-like,LOC101253071
13408,uncharacterized LOC101253072,LOC101253072
13409,F-box/FBD/LRR-repeat protein At5g22660-like,LOC101253073
13410,putative UPF0481 protein At3g02645-like,LOC101253074
13411,peptidyl-prolyl cis-trans isomerase E-like,LOC101253075
13412,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase-like,LOC101253076
13413,dehydrogenase/reductase SDR family member 7-like,LOC101253077
13414,uncharacterized LOC101253078,LOC101253078
13415,uncharacterized LOC101253079,LOC101253079
13416,auxin-induced protein 6B-like,LOC101253080
13417,uncharacterized LOC101253081,LOC101253081
13418,uncharacterized LOC101253083,LOC101253083
13419,uncharacterized LOC101253085,LOC101253085
13420,F-box/FBD/LRR-repeat protein At1g13570-like,LOC101253086
13421,probable caffeoyl-CoA O-methyltransferase At4g26220-like,LOC101253088
13422,60S ribosomal protein L5-like,LOC101253089
13423,uncharacterized LOC101253091,LOC101253091
13424,"glycerol-3-phosphate dehydrogenase [NAD(+)] 2, chloroplastic-like",LOC101253092
13425,uncharacterized LOC101253093,LOC101253093
13426,"chloroplast stem-loop binding protein of 41 kDa b, chloroplastic-like",LOC101253094
13427,uncharacterized LOC101253095,LOC101253095
13428,U5 small nuclear ribonucleoprotein 200 kDa helicase-like,LOC101253096
13429,metallocarboxypeptidase inhibitor-like,LOC101253097
13430,F-box protein At5g07610-like,LOC101253098
13431,uncharacterized LOC101253099,LOC101253099
13432,mitochondral 37S ribosomal protein S27-like,LOC101253100
13433,glutamate receptor 3.7-like,LOC101253101
13434,uncharacterized LOC101253102,LOC101253102
13435,ATP-dependent helicase rhp16-like,LOC101253103
13436,choline transporter-like protein 2-like,LOC101253105
13437,patatin group A-3-like,LOC101253106
13438,mitochondrial substrate carrier family protein B-like,LOC101253108
13439,transmembrane protein 18-like,LOC101253109
13440,uncharacterized LOC101253110,LOC101253110
13441,subtilisin-like protease-like,LOC101253111
13442,uncharacterized LOC101253112,LOC101253112
13443,GDSL esterase/lipase At1g33811-like,LOC101253113
13444,uncharacterized LOC101253114,LOC101253114
13445,hsp70-binding protein 1-like,LOC101253115
13446,"protein kinase 2B, chloroplastic-like",LOC101253116
13447,"ruBisCO large subunit-binding protein subunit beta, chloroplastic-like",LOC101253117
13448,LIMR family protein At5g01460-like,LOC101253118
13449,uncharacterized LOC101253119,LOC101253119
13450,probable pectinesterase/pectinesterase inhibitor 13-like,LOC101253120
13451,probable WRKY transcription factor 23-like,LOC101253121
13452,CBL-interacting protein kinase 2-like,LOC101253122
13453,basic 7S globulin-like,LOC101253124
13454,serine/threonine-protein kinase tricorner-like,LOC101253125
13455,uncharacterized LOC101253127,LOC101253127
13456,uncharacterized LOC101253128,LOC101253128
13457,ATP-dependent DNA helicase 2 subunit KU80-like,LOC101253129
13458,protein RDM1-like,LOC101253130
13459,"malate dehydrogenase, cytoplasmic-like",LOC101253131
13460,cytochrome P450 83B1-like,LOC101253132
13461,40S ribosomal protein S10-1-like,LOC101253133
13462,uncharacterized LOC101253134,LOC101253134
13463,uncharacterized LOC101253135,LOC101253135
13464,putative germin-like protein 2-1-like,LOC101253136
13465,"fructose-1,6-bisphosphatase, chloroplastic-like",LOC101253137
13466,F-box protein CPR30-like,LOC101253138
13467,uncharacterized LOC101253139,LOC101253139
13468,agamous-like MADS-box protein AGL62-like,LOC101253140
13469,F-box/LRR-repeat protein At5g63520-like,LOC101253141
13470,uncharacterized LOC101253142,LOC101253142
13471,SRSF protein kinase 1-like,LOC101253143
13472,uncharacterized LOC101253144,LOC101253144
13473,COBRA-like protein 4-like,LOC101253146
13474,uncharacterized LOC101253147,LOC101253147
13475,"adenylosuccinate synthetase, chloroplastic-like",LOC101253148
13476,"prohibitin-3, mitochondrial-like",LOC101253149
13477,uncharacterized LOC101253150,LOC101253150
13478,probable WRKY transcription factor 65-like,LOC101253151
13479,60S ribosomal protein L32-1-like,LOC101253152
13480,putative clathrin assembly protein At1g03050-like,LOC101253153
13481,proline-rich receptor-like protein kinase PERK2-like,LOC101253154
13482,uncharacterized LOC101253155,LOC101253155
13483,peptidylprolyl isomerase domain and WD repeat-containing protein 1-like,LOC101253156
13484,MLO-like protein 6-like,LOC101253157
13485,probable WRKY transcription factor 72-like,LOC101253158
13486,uncharacterized LOC101253159,LOC101253159
13487,rac-like GTP-binding protein ARAC7-like,LOC101253160
13488,phytochrome-associated serine/threonine-protein phosphatase 3-like,LOC101253161
13489,peroxidase 72-like,LOC101253162
13490,uncharacterized LOC101253163,LOC101253163
13491,protein ROOT HAIR DEFECTIVE 3 homolog 1-like,LOC101253164
13492,cation/H(+) antiporter 4-like,LOC101253165
13493,uncharacterized LOC101253166,LOC101253166
13494,uncharacterized LOC101253167,LOC101253167
13495,uncharacterized LOC101253168,LOC101253168
13496,DNA repair protein RadA homolog,LOC101253170
13497,"enoyl-CoA hydratase 2, peroxisomal-like",LOC101253171
13498,pre-mRNA-splicing factor SPF27 homolog,LOC101253172
13499,uncharacterized LOC101253173,LOC101253173
13500,LYR motif-containing protein 4-like,LOC101253174
13501,uncharacterized LOC101253175,LOC101253175
13502,zinc finger CCCH domain-containing protein 49-like,LOC101253177
13503,putative late blight resistance protein homolog R1B-16-like,LOC101253178
13504,MATE efflux family protein DTX1-like,LOC101253179
13505,phosphatidylinositol 4-phosphate 5-kinase 1-like,LOC101253180
13506,uncharacterized LOC101253181,LOC101253181
13507,uncharacterized LOC101253182,LOC101253182
13508,putative nucleobase-ascorbate transporter 10-like,LOC101253183
13509,uncharacterized LOC101253184,LOC101253184
13510,uncharacterized LOC101253185,LOC101253185
13511,"cell division topological specificity factor homolog, chloroplastic-like",LOC101253186
13512,"pentatricopeptide repeat-containing protein At1g62260, mitochondrial-like",LOC101253188
13513,uncharacterized LOC101253189,LOC101253189
13514,probable serine/threonine-protein kinase NAK-like,LOC101253190
13515,proline transporter 2-like,LOC101253191
13516,gibberellin receptor GID1B-like,LOC101253192
13517,uncharacterized LOC101253193,LOC101253193
13518,histone H4-like,LOC101253194
13519,uncharacterized LOC101253195,LOC101253195
13520,peroxisomal membrane protein PEX14-like,LOC101253196
13521,type 1 phosphatases regulator ypi1-like,LOC101253197
13522,primary amine oxidase-like,LOC101253199
13523,peptidyl-prolyl cis-trans isomerase FKBP62-like,LOC101253200
13524,uncharacterized LOC101253201,LOC101253201
13525,putative GDP-L-fucose synthase 2-like,LOC101253202
13526,uncharacterized LOC101253203,LOC101253203
13527,galactose oxidase-like,LOC101253204
13528,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5-like,LOC101253206
13529,DCN1-like protein 1-like,LOC101253207
13530,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like,LOC101253208
13531,trihelix transcription factor GT-3b-like,LOC101253209
13532,uncharacterized LOC101253210,LOC101253210
13533,putative transactivator/viroplasmin protein-like,LOC101253211
13534,protein TIFY 5A-like,LOC101253212
13535,uncharacterized LOC101253213,LOC101253213
13536,cyclin-dependent kinase D-1-like,LOC101253215
13537,novel plant SNARE 11-like,LOC101253216
13538,DEAD-box ATP-dependent RNA helicase 5-like,LOC101253217
13539,protein TRI1-like,LOC101253218
13540,uncharacterized LOC101253219,LOC101253219
13541,probable S-adenosylmethionine-dependent methyltransferase At5g38100-like,LOC101253220
13542,probable allantoin permease-like,LOC101253221
13543,potassium channel AKT1-like,LOC101253222
13544,histone H3.2-like,LOC101253224
13545,stem-specific protein TSJT1-like,LOC101253225
13546,DEAD-box ATP-dependent RNA helicase 8-like,LOC101253227
13547,uncharacterized LOC101253228,LOC101253228
13548,uncharacterized LOC101253229,LOC101253229
13549,ribonuclease 3-like protein 2-like,LOC101253230
13550,brassinosteroid LRR receptor kinase-like,LOC101253231
13551,zinc finger CCCH domain-containing protein 53-like,LOC101253233
13552,indole-3-acetic acid-induced protein ARG7-like,LOC101253234
13553,uncharacterized LOC101253235,LOC101253235
13554,cannabidiolic acid synthase-like,LOC101253236
13555,uncharacterized LOC101253237,LOC101253237
13556,uncharacterized LOC101253238,LOC101253238
13557,myosin-J heavy chain-like,LOC101253239
13558,TMV resistance protein N-like,LOC101253240
13559,E3 ubiquitin protein ligase RIE1-like,LOC101253241
13560,uncharacterized LOC101253242,LOC101253242
13561,protein LURP-one-related 15-like,LOC101253243
13562,uncharacterized LOC101253244,LOC101253244
13563,myb-related protein 306-like,LOC101253245
13564,myosin-H heavy chain-like,LOC101253246
13565,"50S ribosomal protein L12, chloroplastic-like",LOC101253247
13566,protein arv1 homolog,LOC101253248
13567,uncharacterized LOC101253249,LOC101253249
13568,ABC transporter G family member 31-like,LOC101253250
13569,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101253251
13570,uncharacterized LOC101253252,LOC101253252
13571,putative disease resistance RPP13-like protein 1-like,LOC101253253
13572,U-box domain-containing protein 7-like,LOC101253254
13573,dynamin-related protein 4C-like,LOC101253255
13574,ethylene-responsive transcription factor ERF017-like,LOC101253257
13575,probable non-specific lipid-transfer protein AKCS9-like,LOC101253259
13576,vacuolar cation/proton exchanger 5-like,LOC101253260
13577,uncharacterized LOC101253261,LOC101253261
13578,uncharacterized LOC101253262,LOC101253262
13579,probable disease resistance protein At1g61180-like,LOC101253263
13580,NAC domain-containing protein 74-like,LOC101253264
13581,scarecrow-like protein 3-like,LOC101253266
13582,uncharacterized LOC101253267,LOC101253267
13583,uncharacterized LOC101253270,LOC101253270
13584,"(E,E)-alpha-farnesene synthase-like",LOC101253272
13585,monothiol glutaredoxin-S1-like,LOC101253274
13586,UPF2 regulator of nonsense transcripts homolog (yeast),UPF2
13587,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit 3, mitochondrial-like",LOC101253277
13588,"APO protein 4, mitochondrial-like",LOC101253278
13589,alcohol dehydrogenase-like 7-like,LOC101253280
13590,uncharacterized LOC101253281,LOC101253281
13591,uncharacterized LOC101253282,LOC101253282
13592,glutamate-rich WD repeat-containing protein 1-like,LOC101253284
13593,uncharacterized LOC101253285,LOC101253285
13594,vinorine synthase-like,LOC101253286
13595,cell number regulator 6-like,LOC101253287
13596,expansin-A8-like,LOC101253289
13597,uncharacterized LOC101253290,LOC101253290
13598,uncharacterized LOC101253291,LOC101253291
13599,putative serine/threonine-protein kinase-like protein CCR3-like,LOC101253292
13600,uncharacterized LOC101253293,LOC101253293
13601,probable methyltransferase PMT2-like,LOC101253294
13602,inactive serine/threonine-protein kinase At1g67470-like,LOC101253295
13603,putative respiratory burst oxidase homolog protein H-like,LOC101253296
13604,F-box/kelch-repeat protein At3g06240-like,LOC101253297
13605,uncharacterized LOC101253299,LOC101253299
13606,pentatricopeptide repeat-containing protein At1g19720-like,LOC101253300
13607,cysteine synthase 2-like,LOC101253301
13608,uncharacterized LOC101253303,LOC101253303
13609,uncharacterized LOC101253304,LOC101253304
13610,ATP-dependent zinc metalloprotease FtsH-like,LOC101253305
13611,probable calcium-binding protein CML26-like,LOC101253306
13612,probable peptidyl-prolyl cis-trans isomerase-like,LOC101253307
13613,G2/mitotic-specific cyclin-2-like,LOC101253308
13614,probable iron/ascorbate oxidoreductase DDB_G0283291-like,LOC101253309
13615,laccase-4-like,LOC101253311
13616,uncharacterized LOC101253312,LOC101253312
13617,pentatricopeptide repeat-containing protein At5g56310-like,LOC101253313
13618,uncharacterized LOC101253314,LOC101253314
13619,uncharacterized LOC101253315,LOC101253315
13620,40S ribosomal protein S16-like,LOC101253316
13621,uncharacterized LOC101253317,LOC101253317
13622,cullin-1-like,LOC101253318
13623,uncharacterized LOC101253319,LOC101253319
13624,sulfate transporter 3.1-like,LOC101253320
13625,"4-hydroxy-tetrahydrodipicolinate reductase 1, chloroplastic-like",LOC101253321
13626,GTP pyrophosphokinase-like,LOC101253322
13627,uncharacterized LOC101253323,LOC101253323
13628,transcription initiation factor TFIID subunit 6-like,LOC101253325
13629,probable S-acyltransferase At2g14255-like,LOC101253326
13630,uncharacterized LOC101253327,LOC101253327
13631,uncharacterized LOC101253328,LOC101253328
13632,uncharacterized LOC101253330,LOC101253330
13633,uncharacterized LOC101253331,LOC101253331
13634,"calcium-transporting ATPase 12, plasma membrane-type-like",LOC101253332
13635,"pentatricopeptide repeat-containing protein At4g34830, chloroplastic-like",LOC101253333
13636,calcium-dependent protein kinase 20-like,LOC101253334
13637,uncharacterized LOC101253335,LOC101253335
13638,uncharacterized LOC101253336,LOC101253336
13639,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial-like",LOC101253337
13640,"pentatricopeptide repeat-containing protein At2g29760, chloroplastic-like",LOC101253338
13641,geraniol dehydrogenase 1-like,LOC101253340
13642,"ATP synthase gamma chain, chloroplastic-like",LOC101253342
13643,adoMet-dependent rRNA methyltransferase spb1-like,LOC101253343
13644,uncharacterized LOC101253344,LOC101253344
13645,GDSL esterase/lipase At1g33811-like,LOC101253345
13646,12-oxophytodienoate reductase 1-like,LOC101253346
13647,abhydrolase domain-containing protein FAM108B1-like,LOC101253347
13648,putative disease resistance RPP13-like protein 1-like,LOC101253348
13649,UDP-glycosyltransferase 92A1-like,LOC101253350
13650,U-box domain-containing protein 33-like,LOC101253351
13651,BAH and coiled-coil domain-containing protein 1-like,LOC101253352
13652,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101253353
13653,uncharacterized LOC101253354,LOC101253354
13654,putative late blight resistance protein homolog R1B-14-like,LOC101253355
13655,uncharacterized LOC101253356,LOC101253356
13656,uncharacterized LOC101253357,LOC101253357
13657,uncharacterized LOC101253358,LOC101253358
13658,signal peptide peptidase-like 1-like,LOC101253359
13659,mitogen-activated protein kinase kinase kinase ANP1-like,LOC101253360
13660,"xylogalacturonan beta-1,3-xylosyltransferase-like",LOC101253361
13661,inositol polyphosphate multikinase beta-like,LOC101253363
13662,UPF0369 protein C6orf57-like,LOC101253364
13663,tubulin alpha chain-like,LOC101253365
13664,uncharacterized LOC101253367,LOC101253367
13665,photosystem Q(B) protein-like,LOC101253368
13666,uncharacterized LOC101253369,LOC101253369
13667,uncharacterized LOC101253370,LOC101253370
13668,"alpha-1,4-glucan-protein synthase [UDP-forming] 2-like",LOC101253371
13669,ribosomal L1 domain-containing protein 1-like,LOC101253372
13670,uncharacterized LOC101253374,LOC101253374
13671,auxin-induced protein X15-like,LOC101253375
13672,uncharacterized LOC101253376,LOC101253376
13673,peroxidase 12-like,LOC101253377
13674,uncharacterized LOC101253378,LOC101253378
13675,probable trehalose-phosphate phosphatase 6-like,LOC101253379
13676,uncharacterized LOC101253381,LOC101253381
13677,probable caffeoyl-CoA O-methyltransferase At4g26220-like,LOC101253382
13678,F-box/LRR-repeat protein 12-like,LOC101253383
13679,two-component response regulator ARR17-like,LOC101253384
13680,uncharacterized LOC101253385,LOC101253385
13681,calmodulin-like protein 5-like,LOC101253386
13682,calcium-binding allergen Ole e 8-like,LOC101253387
13683,uncharacterized LOC101253388,LOC101253388
13684,TMV resistance protein N-like,LOC101253389
13685,uncharacterized LOC101253390,LOC101253390
13686,polygalacturonase At1g48100-like,LOC101253391
13687,putative transactivator/viroplasmin protein-like,LOC101253392
13688,uncharacterized LOC101253393,LOC101253393
13689,transmembrane 9 superfamily member 4-like,LOC101253394
13690,protein TRANSPARENT TESTA 12-like,LOC101253395
13691,uncharacterized LOC101253396,LOC101253396
13692,uncharacterized LOC101253397,LOC101253397
13693,ATP-dependent helicase rhp16-like,LOC101253398
13694,uncharacterized LOC101253399,LOC101253399
13695,"pentatricopeptide repeat-containing protein At4g21705, mitochondrial-like",LOC101253400
13696,BTB/POZ domain-containing protein NPY1-like,LOC101253401
13697,uncharacterized LOC101253402,LOC101253402
13698,uncharacterized LOC101253403,LOC101253403
13699,elongation factor 2-like,LOC101253404
13700,uncharacterized LOC101253405,LOC101253405
13701,uncharacterized LOC101253406,LOC101253406
13702,uncharacterized LOC101253408,LOC101253408
13703,GDSL esterase/lipase At5g08460-like,LOC101253409
13704,L-ascorbate oxidase-like,LOC101253411
13705,uncharacterized LOC101253415,LOC101253415
13706,uncharacterized LOC101253416,LOC101253416
13707,F-box protein At2g27310-like,LOC101253418
13708,uric acid degradation bifunctional protein TTL-like,LOC101253420
13709,uncharacterized LOC101253421,LOC101253421
13710,glutathione S-transferase APIC-like,LOC101253422
13711,uncharacterized LOC101253424,LOC101253424
13712,protein tesmin/TSO1-like CXC 3-like,LOC101253425
13713,cytochrome P450 83B1-like,LOC101253427
13714,uncharacterized LOC101253429,LOC101253429
13715,GDSL esterase/lipase At5g45960-like,LOC101253430
13716,germin-like protein subfamily 1 member 13-like,LOC101253431
13717,F-box/kelch-repeat protein At1g22040-like,LOC101253432
13718,nuclear transcription factor Y subunit B-6-like,LOC101253433
13719,probable pectinesterase/pectinesterase inhibitor 36-like,LOC101253434
13720,uncharacterized LOC101253435,LOC101253435
13721,uncharacterized LOC101253436,LOC101253436
13722,uncharacterized LOC101253437,LOC101253437
13723,60S ribosomal protein L35-4-like,LOC101253438
13724,uncharacterized LOC101253439,LOC101253439
13725,"probable calcium-transporting ATPase 5, plasma membrane-type-like",LOC101253440
13726,protein PIR-like,LOC101253443
13727,uncharacterized LOC101253444,LOC101253444
13728,uncharacterized LOC101253445,LOC101253445
13729,phytochrome E-like,LOC101253446
13730,epidermis-specific secreted glycoprotein EP1-like,LOC101253447
13731,cationic amino acid transporter 1-like,LOC101253448
13732,"peptidyl-prolyl cis-trans isomerase FKBP17-1, chloroplastic-like",LOC101253449
13733,armadillo repeat-containing protein 6-like,LOC101253450
13734,U-box domain-containing protein 4-like,LOC101253451
13735,uncharacterized LOC101253453,LOC101253453
13736,syntaxin-71-like,LOC101253454
13737,uncharacterized LOC101253455,LOC101253455
13738,GDSL esterase/lipase At5g45910-like,LOC101253456
13739,DEAH (Asp-Glu-Ala-His) box polypeptide 16,DHX16
13740,probable pectate lyase P59-like,LOC101253459
13741,"50S ribosomal protein L16, chloroplastic-like",LOC101253460
13742,uncharacterized LOC101253462,LOC101253462
13743,nodulin-26-like,LOC101253463
13744,probable glucuronoxylan glucuronosyltransferase F8H-like,LOC101253464
13745,uncharacterized LOC101253465,LOC101253465
13746,V-type proton ATPase subunit e-like,LOC101253466
13747,acid phosphatase 1-like,LOC101253467
13748,uncharacterized LOC101253470,LOC101253470
13749,nucleobase-ascorbate transporter 6-like,LOC101253471
13750,methyltransferase-like protein 2-like,LOC101253472
13751,putative late blight resistance protein homolog R1B-14-like,LOC101253474
13752,uncharacterized LOC101253475,LOC101253475
13753,G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370-like,LOC101253476
13754,uncharacterized LOC101253477,LOC101253477
13755,premnaspirodiene oxygenase-like,LOC101253478
13756,uncharacterized LOC101253479,LOC101253479
13757,uncharacterized LOC101253480,LOC101253480
13758,uncharacterized LOC101253481,LOC101253481
13759,uncharacterized LOC101253482,LOC101253482
